location,gender,age,pretest_1,pretest_2,posttest_1,posttest_2,w1,w2,w3,w4,code
Rochelle,f,61,5.0,5.0,5.0,7.0,38.0,35.0,24.0,30.0,78
Rochelle,unknown,unknown,5.0,5.0,5.0,6.0,20.0,20.0,5.0,0.0,80
Rochelle,f,87,5.0,5.0,5.0,7.0,16.0,21.0,17.0,21.0,81
Rochelle,unknown,unknown,4.0,6.0,5.0,6.0,21.0,21.0,21.0,21.0,82
Rochelle,f,65,4.0,5.0,5.0,6.0,1.0,21.0,21.0,0.0,83
Rochelle,unknown,unknown,5.0,5.0,5.0,7.0,9.0,12.0,9.0,12.0,85
Rochelle,m,69,5.0,5.0,5.0,6.0,19.0,21.0,20.0,21.0,86
Rochelle,f,97,3.0,4.0,5.0,7.0,10.0,11.0,9.0,8.0,87
Rochelle,f,62,4.0,4.0,5.0,6.0,8.0,14.0,13.0,18.0,89
Rochelle,unknown,unknown,4.0,4.0,5.0,7.0,14.0,8.0,3.0,1.0,90
Rochelle,f,64,3.0,5.0,5.0,7.0,10.0,19.0,19.0,14.0,91
Rochelle,f,75,4.0,4.0,4.0,5.0,21.0,17.0,21.0,23.0,92
Rochelle,unknown,unknown,4.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,93
Rochelle,f,61,4.0,3.0,5.0,7.0,17.0,9.0,0.0,15.0,94
MtVernon,f,74,3.0,6.0,5.0,6.0,29.0,28.0,19.0,22.0,122
Carbondale,m,63,3.0,3.0,4.0,7.0,7.0,10.0,14.0,17.0,2
MtVernon,f,61,4.0,7.0,5.0,7.0,42.0,16.0,11.0,13.0,120
MtVernon,m,68,3.0,5.0,4.0,6.0,27.0,25.0,27.0,33.0,107
Rochelle,f,69,3.0,4.0,5.0,7.0,19.0,22.0,19.0,18.0,65
Carbondale,f,68,4.0,7.0,4.0,7.0,35.0,34.0,27.0,31.0,30
Rochelle,f,23,5.0,5.0,5.0,7.0,21.0,21.0,21.0,21.0,97
Rochelle,f,85,0.0,3.0,5.0,7.0,24.0,20.0,14.0,22.0,99
MtVernon,f,61,4.0,7.0,4.0,7.0,25.0,32.0,37.0,23.0,100
MtVernon,m,67,4.0,7.0,4.0,7.0,42.0,42.0,36.0,42.0,101
MtVernon,f,87,5.0,7.0,5.0,7.0,42.0,42.0,42.0,42.0,102
MtVernon,f,80,3.0,6.0,4.0,6.0,42.0,42.0,42.0,42.0,104
MtVernon,m,65,3.0,7.0,3.0,7.0,42.0,42.0,42.0,42.0,105
MtVernon,f,61,5.0,7.0,5.0,7.0,25.0,16.0,13.0,9.0,106
MtVernon,f,75,5.0,7.0,5.0,7.0,32.0,33.0,38.0,39.0,108
MtVernon,f,79,5.0,6.0,5.0,7.0,17.0,15.0,10.0,15.0,119
MtVernon,f,?,5.0,7.0,5.0,7.0,20.0,30.0,17.0,21.0,109
MtVernon,f,82,0.0,6.0,2.0,7.0,35.0,36.0,28.0,29.0,110
MtVernon,f,60,2.0,2.0,2.0,2.0,14.0,42.0,42.0,42.0,111
MtVernon,f,65,3.0,6.0,5.0,7.0,21.0,22.0,24.0,22.0,112
MtVernon,m,82,4.0,6.0,4.0,6.0,20.0,14.0,11.0,0.0,113
MtVernon,f,80,2.0,5.0,2.0,6.0,7.0,7.0,7.0,7.0,114
MtVernon,f,71,4.0,7.0,5.0,7.0,21.0,10.0,5.0,10.0,115
MtVernon,f,77,5.0,7.0,5.0,7.0,49.0,49.0,49.0,49.0,116
MtVernon,f,64,5.0,7.0,5.0,7.0,39.0,34.0,35.0,33.0,117
MtVernon,f,64,3.0,3.0,5.0,5.0,22.0,30.0,25.0,17.0,118
Carbondale,f,82,5.0,7.0,5.0,7.0,27.0,30.0,30.0,26.0,32
MtVernon,f,72,4.0,5.0,4.0,4.0,16.0,23.0,23.0,26.0,126
MtVernon,m,60,5.0,7.0,5.0,7.0,28.0,13.0,22.0,17.0,134
Freeport,m,64,2.0,7.0,5.0,7.0,14.0,33.0,33.0,29.0,162
MtVernon,f,62,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,142
MtVernon,f,67,4.0,7.0,4.0,7.0,22.0,20.0,15.0,18.0,143
MtVernon,f,74,3.0,6.0,4.0,4.0,40.0,35.0,40.0,38.0,144
MtVernon,m,60,5.0,6.0,5.0,6.0,9.0,10.0,13.0,12.0,145
MtVernon,f,68,5.0,7.0,5.0,7.0,40.0,40.0,40.0,40.0,146
MtVernon,f,68,5.0,7.0,5.0,7.0,24.0,29.0,31.0,31.0,147
MtVernon,f,65,4.0,5.0,5.0,5.0,22.0,17.0,11.0,11.0,148
Freeport,f,67,4.0,5.0,2.0,5.0,21.0,19.0,11.0,7.0,149
MtVernon,f,65,4.0,7.0,5.0,7.0,31.0,32.0,34.0,30.0,138
Freeport,m,65,4.0,4.0,3.0,5.0,18.0,20.0,20.0,21.0,150
Freeport,f,63,5.0,6.0,5.0,6.0,37.0,34.0,28.0,36.0,151
Freeport,f,73,3.0,6.0,3.0,3.0,19.0,32.0,31.0,42.0,152
Freeport,f,79,3.0,7.0,5.0,6.0,39.0,40.0,41.0,40.0,153
Freeport,m,64,5.0,7.0,5.0,7.0,29.0,33.0,30.0,30.0,154
Freeport,f,60,4.0,6.0,5.0,7.0,32.0,31.0,31.0,24.0,155
Freeport,f,65,4.0,7.0,5.0,7.0,37.0,41.0,40.0,26.0,156
Freeport,m,72,5.0,6.0,5.0,7.0,91.0,39.0,40.0,38.0,157
Freeport,f,60,3.0,7.0,4.0,7.0,38.0,31.0,33.0,23.0,158
Freeport,f,78,5.0,6.0,5.0,5.0,5.0,4.0,7.0,0.0,182
Freeport,m,61,4.0,7.0,5.0,6.0,31.0,35.0,32.0,33.0,160
MtVernon,m,66,1.0,6.0,2.0,7.0,33.0,33.0,36.0,34.0,137
Freeport,m,72,4.0,4.0,5.0,7.0,4.0,17.0,21.0,21.0,161
Freeport,m,60,4.0,7.0,4.0,7.0,25.0,31.0,25.0,27.0,159
Carbondale,f,84,3.0,7.0,5.0,7.0,10.0,20.0,21.0,16.0,1
Peru,f,79,4.0,7.0,5.0,7.0,7.0,7.0,11.0,10.0,184
MtVernon,f,61,4.0,6.0,4.0,7.0,25.0,25.0,15.0,10.0,141
Freeport,f,91,3.0,4.0,4.0,5.0,12.0,15.0,16.0,16.0,163
MtVernon,f,84,3.0,6.0,4.0,7.0,72.0,100.0,65.0,73.0,121
Freeport,f,65,5.0,7.0,5.0,7.0,34.0,40.0,39.0,40.0,164
Freeport,m,82,5.0,7.0,5.0,7.0,35.0,31.0,37.0,36.0,166
Freeport,f,73,3.0,6.0,5.0,7.0,36.0,36.0,36.0,34.0,167
Freeport,f,82,3.0,7.0,3.0,7.0,7.0,42.0,36.0,37.0,168
Freeport,f,81,5.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,169
Freeport,f,71,4.0,5.0,3.0,7.0,20.0,9.0,18.0,42.0,170
Freeport,f,65,5.0,4.0,5.0,5.0,35.0,37.0,32.0,39.0,171
Freeport,f,60,5.0,7.0,5.0,7.0,42.0,42.0,42.0,42.0,172
